start	end	text
3314	26710	こんな山奥に人なんて珍しいですね。この辺りは野蛮な妖怪も多い。すでに夕暮れ。日が落ちきる前に急がれた方が良いですよ。どうされました?
29545	57254	道に迷ってしまったので助けてほしいそうですか それはお気の毒でしたねしかし 私のこの尻尾に気がつかなかったわけではないでしょ妖怪に助けを求めるなど 正気とは思えませんね
59617	85216	まあ 見返り次第といったところでしょうかそうですねあの黄金色の甘くしょっぱい 手のひらほどの大きさの素晴らしいごちそういなり寿司と呼ばれる食べ物に目がなくて
86515	112486	それを5つ…いや、3つほど用意できるのならば、お助けいたしましょう。いいんですか?…いや、そんなにあっさり引き受けていただけるとは思っていなかったものですから。その…
115777	143182	もしですよ もう少し多くても大丈夫なのでしたら5つくらい いただけるといや無理なら3つでも全然構わないのですがえっ 10個ほど本当ですか 約束ですよ必ずですよ
144802	170198	ああ、すみません。取り乱してしまって。では、決まりですね。それでは明朝、明るくなるまであなたをお守りしましょう。さあ、そんなに離れていては守れません。
171760	199645	私の隣に腰を下ろして、楽にしていてください。木の葉を重ねてありますから、柔らかいでしょう?私のお気に入りの寝床です。歩き疲れた体を休めてください。楽に呼吸をして。
203367	230965	穏やかに呼吸をして体をくつろがせて少し疲労の色が強いようですね人の足ではこの山は少々険しかったですか?疲れが残ったままでは明日の下山に響きますし
232175	257459	少しばかり手をお貸ししましょう。どうぞ横になってください。ふかふかの木の葉の布団に寝転がって、手足は楽に投げ出して、そして目を閉じてゆっくりと呼吸をして、
260998	287648	時間のゆるやかな流れを感じて木の葉が揺れて擦れ合う声に耳を傾けて夕暮れの夜が更けていく空を受け入れて夜の訪れを知らせる赤い美しい空が暗く
289537	316580	深い紫へ変化していく輝く太陽は暗く深い闇の淵へと沈んでいくあなたの世界はゆっくりと目まぐるしく移り変わり静かで深い夜に
318317	342635	あなたの意識が溶け出していく日が落ちて暗く深い夜が訪れるのをあなたの心は感じ取る深い呼吸をしてみてください
346771	375713	このゆるやかな夜をかみしめるように胸とお腹がゆっくりと上下にふくらむこの山に流れる穏やかさを取り入れるようにゆっくりと
376546	405203	ゆっくりと体がゆっくりと上下に膨らむ心が穏やかに移ろいでいく胸がゆっくりと上下に膨らむ心がとても落ち着いて心地がいい
418880	446750	さて、少し面白いものをご覧に入れましょう。あなたの疲労を取り払って、あなたの心に安らぎを注ぐ妖術です。みずみずしい青い木の葉を一枚、あなたの胸元に乗せて、それを、
448490	476533	指で軽く押さえて私が三つ数えて揚力を込めると胸の内側に癒しと安らぎが広がっていきますよ一つ二つ三つ
481066	510213	若い木の葉に満ちる活力と私の揚力が混ざり合い、胸にスーッと染み渡り広がる。ほら、心は糸も絶やすく穏やかに移ろいでいく。心に染み付いていた緊張と不安がほつれるように消えていく。心が落ち着く。穏やかに。
512138	538325	気持ちよくなる青かった木の葉が少しずつ枯れていく代わりにあなたの胸の中に青い安らかな癒しが広がる穏やかな癒しの力が呼吸とともにゆるやかに体をめぐり
540031	568300	手足から緊張を消し去る穏やかで温かい不思議な力が心地よさがふわりふわりと広がっていくその感覚がとても心地がいい
579407	608813	驚きましたか?何もばかすばかりが狐ではないんですよ。700年生きて培った葉緑には、こんな使い方もあるんですよ。さあ、次は太ももに。左右の太ももに、一枚ずつ木の葉を置いて、指で軽く押さえ、
611788	639256	そしてそこに、同じように揚力を込める。一つ、二つ、三つ。足に不思議な感覚がじわっと広がり、脱力し始める。この歯が少しずつ枯れていく代わりに、
640952	664518	左右の足に癒しの力が広がる。足の付け根から指先まで力が緩やかに抜けていく。心地よい脱力感が広がる。次は両肩に。
667473	688818	左右の肩に一枚ずつ木の葉を置いて、押さえるように指をのせる。そこにまた、葉緑をこめる。一つ、二つ、三つ。
692106	720239	腕に不思議な感覚がじわっと広がり、脱力し始める。木の葉が少しずつ枯れていく代わりに、あなたの腕に癒しの力が広がる。肩から指先まで、力が緩やかに抜けていく。心地よい脱力感が広がる。
732447	754816	額の上に一枚木の葉を置いて、指でそっと押さえる。これだけで少し頭の中が脱力し始める。とろりとした気持ちよさが頭の中に染み込んでく。
759777	781166	かすかに漏れ出す私の揚力に当てられて頭の中が気持ちよくなり始めていくですからここに揚力を込めるととても気持ちよくなれるんですよ
794315	818468	頭の中に不思議な感覚が広がり脱力していく。額から気持ちいい何かを流し込まれる。頭の中を気持ちいい何かが埋め尽くしてとろけていく。心地よさが頭の中に広がりとろけていく。強い脱力感と心地よさに埋め尽くされて思考が鈍っていく。
824063	844237	とろけていく。まどろんでいく。とろとろに夜の闇の中にとろけていく。心が心地よくとろけていく。
