start	end	text
2717	25816	この度はセミナーCDをご購入いただき、ありがとうございます。私は社会人のためにセミナーを開いている講師です。今君が聞いているのは、私のセミナーを音声化したもの。
28083	50572	このCDは、会社員の仕事に対する姿勢や取り組み方を向上させることが目的で作られているの。具体的に言うと、一つ目はリラクゼーション効果による悩みやストレスの解消。
52217	81727	二つ目は、仕事への意識を変えて、積極的に取り組むマインドの醸成。もちろん、最初はうさんくさいと思ってもらってもいいわ。でも、よく思い出して。おかしい、怪しい、そう思えば思うほど。
82687	110322	余計に深くそれを意識してしまうこと怪しいものとか笑っちゃうような馬鹿げたことを聞いているときの方がより好奇心を持ってより肩の力が抜けた状態ですっと頭に入ってきてしまうそういうものだよね
114106	138950	だってそうだよね。それを聞いているとき、君は何にも考えなくていいんだから。もちろん素直に聞き入ってくれるならそれでもいいよ。その場合はすーっと楽に言葉を受け取ることができる。
141011	166182	あなたがどちらの方法で聞くにせよ、ぜひ繰り返し聞いて、効果を高めてほしいと思っているわ。そうしているうちに、いつの間にか君も、私の言うことをより深く意識するようになっていくから。
170766	192852	さて 音声セミナーの間は心が穏やかな状態でいてほしいの だからこれからは音楽も流していくねどうかな これヒーリングミュージックっていうの
196233	223514	普段君があまり聞く音楽じゃないかもしれないけど、これがあるのとないのとでは大きく違うわ。こういった音楽を流しているとね、どんどん心が落ち着いてきて、いつの間にか私の声に深く集中していた、という受講生も多いの。
228423	254561	本題に入りましょうか。このCDにたどり着いたのは、君が仕事に悩みを抱えているから、そうよね。やりがいや目的の喪失、上司や同僚への不信、失望、将来への不安、
256094	284377	そのどれかを深く感じていたりもしかしたらすべてを感じているのかもしれないでも安心して聞き終わる頃にはそれらはすっかり消えて次の日から君は仕事に深く集中できるようになるからそして
285568	314366	私のセミナーを受けることが、人生をより豊かにするってことを理解する。あれだけ嫌だった仕事も、じきに君の生活にとって大事なものへと変わるようになるわ。さあ、今君が仕事に対してネガティブな側面を感じていればいるほど、
316531	343142	効果が望めるの嘘だと思う?それじゃ君の国に住んでいるある男性の実例を話しましょうか緊張をほぐす目的も兼ねるので目を閉じてリラックスしながら聞いてね
347445	372715	その彼は、いたって普通の会社員だったわ。業務成績も出世するスピードも人並みで、だんだんと仕事に飽き始めていた。彼は悩み苦しんだ末に、私のセミナーを受けに来たの。
375874	405353	私には彼の悩みの原因がすぐにわかったわそれは見られていないことだってみんなのために行動しても興味すら持ってもらえない応援も期待もしてもらえない成果を出しても上から認知されることもないし
406910	432850	周りからの感謝も賞賛もないそんな状態なら仕事に失望してしまってもしょうがないよねだから私は解決策として視線を彼に与えたのまずは一人
434406	454921	私だけは君を見ていると伝えてあげた。それからは常に私の視線を意識するための訓練をしたわ。私のセミナーで繰り返し繰り返しね。
457338	486542	そのうち彼は社会生活を送る中で私に見守られているということを深く意識するようになった。その頃になると彼はどんどん笑顔になって前向きに仕事に取り組むようになっていったわ。誰かに見てもらえるってそれだけ大切なことなの。
488354	512752	そんな頑張った彼に、私はもう一つ上のステージとして、特定の仕事を頑張った際にご褒美をあげることにしたの。彼はそのご褒美のために、効率的に努力する術を自ら考え、実践していったわ。
514323	541811	いつも最高のパフォーマンスを発揮できるよう普段の生活習慣にも気をつけ健全な精神と健康な体を維持することも自発的にするようになっていったのもうわかるよねそんな彼のことを同僚や上司が認めないはずがない
542940	571165	彼は誰からも注目されるようになりどんどん成長し出世していったそして最終的には幹部に上り詰めるまでになったわあくまで概要だけざっと話してしまったからそんな都合よく行くわけないと感じるかもしれないけど
572518	574560	それでは始めようか。
599741	622735	これからは左右から録音した私の声を流していくねゆったりとベッドに寝転がって私の声に耳を傾けてなぜかってそれはその方が意識にとても働きかけやすいから
633461	636303	催眠の気泡を使ったセミナーだから君も左右から流れる私の声を追いかけるように意識を向けていてねさてまだ始まったばかりで緊張しているだろうから
