start	end	text
1603	29600	本日はようこそ、いらっしゃいました。私はこの教派の代表を務めております。小さな団体ではございますが、信者のみんなを日々導いており、みんなからは女神様、などと呼ばれてしまっております。あまりお気になさらないようにしてくださいね。
32295	54166	さて、早速ですが、お話はすでに伺っております。あなたも、入信をご希望なのですね。世の中には、辛い、苦しい、不安、そういった感情がたくさん溢れています。
55981	80187	私たちはそれを少しでも和らげたい、穏やかでありたいという思いで日々活動を行っているのです。中には冷やかしやいたずらで来る方もいらっしゃるのですが、それはあなたの心に聞いてみればわかるかな。
81962	101332	これより、あなたの心を映し出し、私たちの同胞としてふさわしいかを見定める、洗礼の儀式を取り行います。あなたの隣にいる二人も、そのお手伝いとして同席させていただきます。
103444	128353	二人とも、よろしくお願いしますね。はい、女神様。はい、良さそうですね。それでは、始めていきましょう。あなたは私の言葉を聞きながら、リラックスできる体勢で楽にしていれば良いですからね。
130085	158217	目は…集中しやすくなるように閉じましょうか。ほら、目が閉じて、そうです、そのまま閉じた瞼のあたりに感覚が向いていく。はい、簡易的にですが、これで頭に意識を集めることができましたね。
160350	188474	ではまずは、本当の心を映し出すために、あなたの内側にある負の意識、つまり苦しみや不安、これらを取り除く必要があります。私たちの教えでは、負の意識は、そう、頭の中で渦巻いているもの、とされています。
190303	217145	ですから、まずはあなたの頭の中を綺麗にしていきましょう。指を鳴らして、私が合図を致します。そうすると、あなたの頭の中から負の意識が少しずつなくなっていきますよ。んふふ。ほら、どうぞ。
218437	246338	はい、失礼します。はい、やばい。いきなり左右から耳の中を舐められて、驚かれてしまったでしょうか。
246862	274958	突然のことで頭が真っ白になったと表現した方が良いかもしれませんね。そう、舌が這い回った耳の奥、頭の中に意識が向けられて、その意識ごと綺麗に舐め取られたかのように、真っ白。理解が追いつかない。なんだかだんだんぼーっとしてくる。
275566	299630	頭がふわふわする、ずーんと重たく感じる、うまく物事を考えられない。では、これを繰り返して、意識を敏感にさせられたり、真っ白にぼやけていったり、してみましょう。ほら。
304642	318597	また左右の耳に意識が集まるピンク色が出てくる温かくて柔らかい舌を耳からにゅるにゅると入ってくる頭は
326582	353377	ほら、また頭が真っ白になってくる。柔らかい唇、ぬるぬるの舌に思考を奪われてしまう。その余韻でさらにぼやーっとしてくる。そうです。これがあなたの負の意識を取り除き、本能をあらわにする儀式の一つなのです。
354750	382368	これは、脳みそを、正確には意識を、きれいに洗う、ということを表しており、あくまで儀式の上でですが、私たちは洗脳と呼んでいます。ですが、もちろん一般的に使われている意味ではございませんので、ご安心ください。
383974	408170	この儀式によって、最終的には負の意識は全てなくなり、あなたの本当の姿を映し出すことができます。つまり、耳の奥、頭の中を舐められると同時に、負の意識も一緒に舐め取られているのです。
409793	436013	繰り返すほど、余計な意識や感情が消えていって、真っ白になって、ふわーっと、心地よくなっていくんですよ。ですから、また耳から舌を差し込まれて、意識を混ぜられながら、きれいになりましょう。ほら、洗脳。
