start	end	text
9145	31367	そろそろ意識はっきりしてきた?少し気だるくてぼーっとするけどそれ以外は大丈夫ぼーっとするのは魅了の影響が少し残ってるからだと思うでも今なら私が暗示をかけることで完全に元に戻れるはず
33658	60590	気だるいのは私が正気を吸い取りすぎちゃったからかな今から暗示をかけるためにもう一度だけ君の意識を落とすよいい?わかったじゃあカウントダウンしていくね目をつぶって私の声だけに集中して
63325	90418	10.だらんと力が抜ける。9.ぼんやりと意識に霞がかかる。8.何も考えなくていいよ。7.頭が空っぽになるのを感じて。6.私の声が気持ちいい。それだけを意識するの。
92630	121421	5 安らぐ 落ち着く 眠くなる4 そう その調子3 意識がふっと消えて2 眠りの世界に落ちる1 0聞いて
123515	149598	君にかかっていた魅了は絶頂によって解除されているの。君の心も体もそのことをしっかり理解している。だから君の意志でちゃんと心も体もコントロールできる。君の意識はもちろん君のもの。そう思い出してくる。
151858	179474	これから0から10までカウントしていくよ数字が大きくなるほど意識ははっきりしていって今私が言ったことも実感できるようになるそして数え終わって私が手を叩いたら君ははっきりと目を覚ますことができるよ123
183174	211390	45678910さあ、目を開けて。ほら、これで元に戻ったはず。わかるでしょ?うん、うん。
213178	240185	眠りから覚めたようなすっきりとした感じがするあ、あと今後の対応についてはおばあちゃんにちゃんと聞いてくれ
242430	268432	あの人の教えてくれた未了解除が嘘だったせいでこうなったとも言えるし。お母さんと一緒にちゃんと叱りつけて、正しい方法を教わってくるから。僕も一緒に行ったほうがいい。ダメ。絶対誘惑してくるから。そっか。まあ、僕はリオさんが一緒にいてくれるんなら、今のままでいいけど。
279835	299060	普段は苗字で読んでまだ慣れてないしサキュバスなんて好きになるもんじゃないよ告白したようなものだし軽い冗談のつもりで言ったけど佐々木さんはすぐ好調する何やってんのお前らとうたつに現れた先輩に驚いて佐々木さんが抱きついてくる
301002	319952	急に現れるのやめてください。いや、全然戻ってこないから探しに来たんじゃ。ていうか、ササキ、なんで返信して?まさか、お前らやっちゃった?やってません。嘘つくなよ。やってません。
322937	348743	まあいいや行こうぜどうせササキが怖がって動けなくなってたんだろ分かってたならもっと早く助けに来てくださいよもっとゆっくりの間違いだろ先輩あそうだお前はいこれから頑張れよえサキはさマジで性欲半端ないらしいから
