start	end	text
757	12485	ついちゃん、聞こえてる?聞こえてるよー…という状況…えたねー…なんかみんな落ちちゃったんだけど、一人だけまだ繋がってるみたいな…
14877	42902	じゃあ周り気にしないで、むちゃくちゃにしちゃってもいいんだうわー怖いこと言ってる今からエッチなアンジーでようとしてたとこじゃあ今から一緒にやる?オッケー誘導で疲れただろうしここからは私がメインでやるねさあ気持ちのいい罪名状態にいるあなたに話しかけてるよあなたは今深い深い罪名状態で
43990	71362	気持ちの良い世界を漂っている。けど、ちゃんと私の声は聞こえているし、状況はわかっている。深い罪名状態から少し戻ってくると、あなたはもう一人の聞き覚えのある声を聞いた瞬間、嬉しくて嬉しくて仕方がない。そう、嬉しくって何でも言われたことを聞いちゃうよね。
73902	101180	時間だよ。お帰り。そしてただいま。あ、そのまま目をつむってていいからね。ごめんね、なんか落ちちゃったみたい。けど、あなたも気持ちいい世界に落ちてたんだ。嬉しいね、今まで二人きりで遊んでもらってたんだもん。
102648	127775	今の君は、何を言われたって嬉しいよね。よしよし、いい子いい子。ちゃんと私が戻ってくるまで、いい子に待ってたんだね。困った子、そんなにメロちゃんにしぽふっちゃけ、嬉しそう。さっきまで私と二人きりで楽しんでたのにね。
128146	155534	メロちゃん帰ってきたらすぐそっちに気持ちが映っちゃうんだよーし、よーし。えらい、えらい。冗談、冗談。いい子だね。さ、もう一度深い深い催眠状態に入るよ。今度は20から0まで数える。さっきより高いところから落ちていくんだから、
156209	162365	それだけ気持ちいいんだろうねいくよ
165058	189520	ほら、数が減っていくたびに頭の中がとろんと溶けない。気持ち、何も考えられない。私たちの声がどんどんどんどん気持ちよく染み込んでいる。ゼロに到達すると、あなたは私たちの声を聴くこと、私たちから安心を聴くことがあなたにとっての意義になる。
189800	219119	何か命令されるだけで、頭の中が、心が、肌が、全身が、喜びに位置溢れるよ。うれしいね。自分のためだけに誘導してもらって、こんな気持ちよくしてくれる人の声には、うれしいから従っちゃうよね。従うことが、あなたの幸せだよね。
220216	227592	そうでしょ?そんな私だけのお人形さんになるの
232210	249782	私に命令され従ってしまう そうあなたは自分が従いたくて従うのむしろ自分からお願いをして命令してもらいたいほどに私の声を待ち望んでいる
251957	277088	誰かに関係や拘束されているわけでもない こうやって生放送という一方的な通話状で指示されているだけなのにもかかわらずあなたはそこにいる 自分の意志でいるのか案事のせいでそこにいるのか それすらわからないしそんなことはどうでもいい
279065	304607	重要なのはあなた自身が気持ちいいかどうかだけ そうだよね私の案事があなたの心の奥の奥の奥の奥まで入り込んで 私が言ったことが事実となるほらあなたは私の私たちの操り人形
306363	330292	うれしいね、いつも私たちはみんなに対して催眠をかけているのに、今日はあなたとだけ遊んであげる。特別だよ。すでにそれなりに敵のいいお人形さんだけど、もっと私好みのお人形さんにしてあげるね。
331685	357595	今日は特別な日。最後にはちゃんと元に戻してあげるから、思いっきり催眠を楽しめばいいの。そして、思いっきり気持ちよくなればいい。ね、お人形さん?お人形さんって、自分で物事を考える必要なんてないよね?
358847	386632	今は頭がボーッとして物事を考えられないだけかもしれないけど頭の中そのものを空っぽにしてあげるあなたはただ私の声で気持ちよくなっていればいい私の言っている言葉の意味もお人形さんにはどうでもいいよねだって
390816	414704	ほらあなたの頭の中に白い霧が満たされていくあたりに霧が立ち込めるように頭の中を真っ白にしていくそれはあなたの思考を鈍らせていき頭の中をただただ心地のいい状態にさせ何を考えるのも面倒にさせる
417367	443573	例えば、今日飲んだ飲み物。一番最近買った文房具。三日前は何時くらいにお風呂に入ったのか。そんなあなたにとって重要ではない子供らは、もう思い出そうとする力すら起きない。そう、まるで初めから記憶になかったかのように。
445591	469460	昨日着ていた服、冷蔵庫には何が入っていたか、シャンプーがあとどれだけ残っていたか、そんなことももうどうでもよくて思い出せない。時計の位置、ドアの位置、テレビの位置、どこに置いていたかというより、
469780	498250	そもそも部屋にあったのかどうかさえ曖昧にそして頭の中から完全にすーっと消えてすべてがどうでもよくなるあなたの家の住所名前や年齢そういった情報までもがすーっと両手の指の隙間から記憶という砂がさらさらとこぼれ落ちていく
502324	525718	さらさらっと止めどなくこぼれていくけど そんなこともどうでもいい価値観や理性なんかもさらさらとこぼれ落ちる そもそも今こぼれ落ちているものが何なのかさえもう思い出せないし気にもならない どんどん指の隙間から落ちていく
527660	552301	むしろ自分から手を逆さにしてカスカに残っていた砂も放棄するほどに最後には砂場で遊んだ小さな子供が手についている砂を払うようにカスカに手に付着していた砂も全部なくなっちゃった
554375	575907	けど、でも綺麗になったし、すっきりして気持ちいいね。安心して、私の声聞こえるでしょ。今のあなたにとって大切なことは、私の声だけ。他には何もいらないよね。
577405	604282	私の声だけが生きがい声を聞けば幸せになれるし心地よくなれる私の大事なお人形さんうふふうれしい大事って言われるのあなたのことだよ私の大事な大事なお人形さん準備できたね
609016	636100	何して遊ぼうか、大事に大事に可愛がって、いじめて、気持ちよくさせて、頭の中はカラッポでも、熱くなれば汗は隠し、エッチなことをすれば気持ちよくなる。それはお人形さんでも同じこと。ただ頭はカラッポで、私の言う通りにするだけ。
637561	662678	自分が今何をやっているのかもわからないけどね。じゃあ早速だけど、お人形さんのかわいいところ、見せてもらおうかな。あ、そうだ。お人形さん、お何を始めなさい。いつもあなたがやっているように。ほら。
664173	690370	手が勝手に動き出し、あなたの体は自然と女人を始める。お人形さんだもんね。ご主人様の言うことは絶対だもん。ほら、いつもどれくらいの強さで握っているのかな?どれくらいの速さでするのかな?全部見せてもらいますね。
694960	723023	うまくできるかな?おちんちん刺激するだけじゃ物足りないだろうから私が少し手伝ってあげる今から私があなたの耳を舐めてあげるとそれだけで頭の中の幸運は爆発するもちろん幸運すると感安心も気持ちよくなれるよね
727833	756300	実際はなんでエッジな気分になっているのかなんで感安心が気持ちよくなっているのかも近くできないただただ気持ちよくを何をしてるだけのおもちゃしかも会見からじゃわからない無表情でのけぞったり会えたりすることもないそんな命令は
768141	768586	うーん
808569	829876	気持ちいいね。もう舐めるのを止めても、その幸福は収まらない。さあ、そのまま続けて。良い見物だね。車生のためでもない。何のためにその幸福をしているのかさえ、あなたに理由はない。
832844	857500	ただ、私にやれと言われたからやっている。それだけ。もちろん体は気持ちよくなっているし、あなたは私に命令されて、この上なく喜びを感じている。ただ生放送を聞いていただけて、こんなことになるなんてね。ああ、そのまま続けててね。
858872	884215	そういえば私たちはいつも生放送で大人数に声を届けているんだけど私たち届けている川は1人や2人なのにそれを聞いている相手はいっぱいいるんだよねー生放送って面白いよねリアルタイムで声会おうと映像なんかも届けることができる
885950	907519	そういえばさ、私たちのやっているような生放送とはちょっと違うけどライブチャット、チャットレリーとかって知ってる?インターネットの生配信サービスでアダルトなところだとエッチなトークをしたり抜いたり、エッチなことをリアルタイムでしたりしてるの
909468	919511	不特定多数の知らない人に恥ずかしいところを見てもらってるの それってとっても気持ち良さそうだと思わない
922494	943394	お人形さん?なんでこんな話を急に始めたかっていうとね。あ、あなたはお人形さんだから自分が何をしているのかもわかってないかもしれない。私が言っている意味を理解する脳みそもないんだろうけど、一応説明するとね。
944171	965973	今あなたは生放送で自分の女に寄している姿を全世界に公開しているの。さっきまであんなに恥ずかしいことをして喜んでたんだもんね。もっとたくさんの人に見てもらったら、それだけ快感が上がるのも当たり前だよね。
967538	987640	まあ、お人形さんだし、何をやっているかなんてわからないし、どうでもいいよね。あなたは私の言う通りに動いて、私に喜んでもらってる。うれしいね。あ、手止めちゃダメだからね。そのまま続けてて。
989847	1010031	そして突然だけどお人形さん、今から10から0まで数えた時、あなたは絶長してしまう。そして絶長するとともに、今自分が生放送で、全世界に自分が人形になって、女によさらしていたことを思い出す。
1011992	1030267	笑われたり、やべぇとか、SNSに拡散しようとかいうコメントが流れていたことを、全部総魔塔のように思い出す。そしてその焦りの分だけ、なぜかそれが快感となってあなたの前進を襲う。
1031362	1055920	その気持ちよさは想像を絶するかも だってさっき生放送の話をした通りあなた一人に対して大勢が見てるんだよ 百人かもしれないし1000人かもしれないその人数のコメント数や笑いの数だけ あなたは気持ちよくなって言ってしまうんだからさ
1057673	1076234	そして、今まで女にしていた会館も思い出して、一気に流れ込んでくる。お人形になって止まっていた時間が流れ始める。いくよ、ゼロに到達すると、全部思い出してしまう。十、九。
1080556	1097800	はち、ああ、どうなっちゃうんだろう。楽しみだな。おもちゃやものは、いつかは壊れちゃう。あなたも例外じゃないのかな。でも、壊れちゃうくらい遊んでもらえたら、それはおもちゃであるあなたにとっては、喜ばしいことなのかもしれないね。
1099002	1117628	もちろん乱暴に扱って壊すわけじゃないよ。ちゃんと大事に遊んで可愛がってその上で壊れちゃ。それって仕方ないよね。ねえ、そう思わない。
1125697	1154703	どんな顔をしながら言っちゃうんだろう。びっくりした顔かな。焦っちゃうのかな。それともただ会館に用意しれるのかな。どんな顔をしながらでも、すごい会館で言ってしまう。4、3、2。もうすぐ現実を知るのに、何にも知らず、言われた通りに、しこしこしこしてる。無知な方が幸せっていうのはこのことだよね。
1155833	1170774	一来るよ来るよ次の一つで総魔塔のように自分がしていたこと人形になっていたこと放送された事実コメントの数だけ気持ちよくなっちゃうことを思い出す
1175844	1198105	気持ちいいね!びっくりした?ねえびっくりした?意味わからないよね気がついたら世界中に自分の女によさらしてて気持ちよくなって今どんな気持ち?後悔?罪悪感?それともただ気持ちよかっただけ?みんなどんな反応してた?ねえねえ教えて?
1206276	1226702	ごめんねちょっと笑っちゃった大丈夫あなたの反応がいいからちょっとイジベルしたくなっちゃったの世界中になんて配信してないから安心して最初に言ったでしょ私の大事な大事なお人形さんだって
