start	end	text
7110	29630	それじゃあ、催眠を解除してあげるね君はまだ深い催眠状態の中にいるだから私に言われたことは何でも無意識に従ってしまうの質問そろそろすっきり目覚めたいよねうん、そうだよね
35768	63598	自分でそう思うのが大切だよそれならさ覚えてるよね私に褒められたらもう一度夢の中へ落ちていくってこともはいよくできました10カウントに導かれた
65110	91524	9.あの一番深いところに8.スーッと落ちて戻ってくる7.気持ちよくて心地よくて6.言葉がそのままイメージに置き換わる場所5.意識が眠る4.深くなって眠くなる
95918	119345	そのまま落ちちゃっていいよ3210一気に落ちる深く落ちるぼーっとして気持ちのいい催眠状態に戻るよくできました
121244	139132	今の君は深い催眠の中にいる私の言葉を素直に受け入れて気持ちよく従うことができる状態今から君の暗示を解いていくよ
141865	169123	大丈夫、心配しないで。君が望んだことは君の心に残り続けるから。そう、膨らんだ恋心も刻まれたキーワードも、君にとって重要だと思っていたことは解除されても消えることはないよ。
172216	199832	イメージした未来の私たちのことを思い出してみて逆にさっき何も望まなかったのなら君は私に催眠にかけられる前に戻ることができるさあ今度は1から10まで数を数えていくよ
201767	228658	数が増えていくにつれて、君はだんだんと目を覚まして、10で完全に目覚めることができるの。その時君は、君が望む姿になっている。君が決断した通り、君と私の関係も、君がイメージした通りのものになっているからね。
232417	253823	1.頭の中を爽やかな風が吹き抜ける2.望まない暗示を頭からスーッと吹き飛ばしていく3.カウント認識が向いて集中できていることに気づく
256257	279418	4.それに気づけたということは、頭のもやも晴れているということ。5.すっきりして気持ちいいし、思考もはっきりしてくる。6.頭と体が軽くなって、安心と幸せに満ちてくる。
281812	307247	7 君はもう目覚めることができる8 とても晴れやかでスッキリした気持ちだね9 ほら行くよ10さあ 目を開けて
310993	337163	おはよ新人くん大丈夫?ちゃんと目覚めてる?ぼーっとしてない?そっかじゃあシャワー浴びておいでちょっとすごいことになってるかな明日はお昼までゆっくりしてのんびりランチでもして帰ろっかあさって
343550	360856	仕事だね 出社は午後からにしよっかなねえ新人くん 課長には適当な理由出しといてねえお願い お礼はするからさ
