start	end	text
827	26778	ほら、その世界で目を閉じる。そして、ガヤガヤというざわめき声を想像する。そう、今度はあなたの知っている繁華街へと場所が移る。足に触れる地面の感触が固くなり、人工的な地面の感触を感じる。
28815	58237	その世界でそっと目を開くと、あなたが来たことのある街中にいますよ。ここは人がとても多いけど、逆にガヤガヤしていて、ローターの音が鳴っても誰にも気づかれないね。でも、人が多いから怪しい動きをしてはいけないし、こんな場所でリモコンローターを動かされても、冷静を装わなければいけない。
60261	83586	ほら音が聞こえるだけで股間が気持ちいい歩行者の邪魔になるからそんな道の真ん中で立ってないで少し橋へ移動しましょう立ち止まってしまいそうでも頑張って普通な状態を振る舞わないといけないよね
87720	109759	いい子だね。よくできました。ほら、橋に着いたら周りを見渡してみましょう。今日は天気も良く、人がいっぱいいるね。忙しく歩いている人、電話をしている人。
111483	139570	チラシやティッシュを配っている人、そんな色々な人の中から、あなたの好みの女の子を探す。探して、何食わぬ顔をしながら、あなたは今から、リモコンローターで感じることができる。ほーら。うふふ、気持ちいいよね。
141301	168971	街中の美人で可愛い子たちの顔や胸、足やお尻を眺めながら自分の股間にローターを当てている。女の子たちの顔を見ながら股間を気持ちよくされていると、まるでその子たちとエッチなことをしている想像しちゃうかもしれないね。ピクッとしちゃダメだよ。
170373	197186	いやらしい。こんな街中でリモコンロータをつけて感じてるとか、すごく変態さんだね。けど、気持ちいいし興奮してくるよね。見て、学校帰りの制服の子、モデルみたいな可愛い子、外国の人でもいい。
198602	227330	花屋さんでも服屋さんでも携帯ショップの店員でも誰でもいい普段あなたと接することのないような女の子とでも股間の振動のせいで顔を見るだけでその子とエッチなことをしているのを想像できるけどどれだけ気持ちよくても私が許可しないとまだ行くことができない
229016	254890	そうでしょこんなところ知り合いに見られたらどうしようバレたらどうしようそうやって思えば思うほどますますドキドキしてくるよねバレないように普通を装えば装うほど股間への刺激がさらに気持ちがいい
258410	287092	あ、なぜか綺麗な人があなたに声をかけてきましたよ。とりあえずルーターを止めておきますね。どうしたんでしょう。不審に思われたのかと思いましたが、どうやら道を尋ねたいようです。危ないところだったね。そんな状態じゃまともに会話できないかもしれないからね。
288390	316167	その子は一生懸命行きたい場所を説明するのだけど、あなたは聞いたこともない場所で答えることができない。けど、あなたも一生懸命話を聞いて、目的地を探す。ほら、答えてあげなよ。ピクってしないようにね。
317358	344471	意地悪をしてあげる。困ってるじゃん。こんなにいい子なのに。交番にでも連れてってあげたらいいんじゃないの?ほら、よく見てよ。その子の困ってる顔。どんな服装してる?
349812	379567	どんな顔?誰に似てる?ほら、よーく見て。あなたはこういう子好きだもんね。声もすごく可愛い。ほら、顔を見ちゃったから。
380575	409163	次動かされるとその子とエッチなことをしているのを想像しちゃうかもしれないねその子もエッチな時はSっ気が強くてローターをオンにしたりオフにされたりしていじめられているのを想像するのもいいかもしれないほらほらちゃんと答えてあげないと姿勢もしっかりして
411456	437060	その子の様子から見ると、どうしてもそこに行きたいみたいだよ。一生懸命あなたに目的地を説明している。だから集中して話を聞いてあげないと。ちゃんとその子の目を見て、言葉にも耳を傾けて。股間の刺激には意識を向けないようにしないとね。
439010	456980	けど、私は意識が嫌でも向くように、いろんなパターンの振動で攻めてあげる。楽しいね。気持ちよさで大きくなってきているの。バレたら大変だよ。
458750	488198	あなたの顔を見ながら、股間にはリモコンローターを当てて、エッチなことを想像してました。ごめんなさいって謝るの?そんな恥ずかしいことできないよね。ほら、二人で地図を見て。距離がすごく近い。このローターの音を聞かれたらどうしよう。バレたらどうしよう。
488730	515702	そう思うとドキドキして興奮してくるよね。しかも隣からは女の子の髪の毛から甘い匂いがしてくる。その匂いが頭をトローンとさせていく。頭がどんどんふわふわしてくる。ほら、深呼吸をしてみて。
517049	546234	大きく鼻から吸って大きく吐き出す吸う時には女の子の甘い匂いがスーッと入ってきてどんどん脳みそを溶かしぼーっとしていく気持ちいいね頭の中も気持ちよくて心も下半身も気持ちいい
547938	565199	何が何だかわからなくなってくる。ああ、もう気持ちが良くて行っちゃいそう。おちんちんの先から気持ちのいいお汁が溢れ出してきてる。
567783	591145	けど残念、なかなか見つからないせいか、その子はもうあきらめ、あなたにえしゃくをして去っていってしまいました。あなたはむらむらとしたいやらしい気持ちがあふれたまま。さて、疲れたからもう帰りましょうか。
593169	606201	脳みそが溶かされ、頭がぼーっとした状態で、それがまた気持ちいいよね。次は帰りの電車ででも遊んであげるね。
