start	end	text
2763	30478	せっかく頑張って私を産んでくれたのに、勇者ママはもう寝ちゃったんですか?なんて可愛らしくて満足そうな顔をしてるんでしょう。あんな風に背後から襲いかかってきた人と同じ人だなんて思えませんね。
32333	52327	というか、私のこと、どういう噂になってるんでしょうか。他の牛娘はともかくとして、そもそも私は村人たちが望むものだから、老若男女問わず。
52788	62890	可愛い女の子にしてあげたり、希望する子におじんじんを生やしてあげて、一緒に子作り手伝ったり。
64053	84967	ミルクをあげる代わりに、水着物の食べ物もらったり、襲いかかってきた相手だけ、自衛も兼ねて聖奴隷や無害な村の女の子に変えただけで、そんなに悪いことはしてなかったと思うんですけどね。
88582	108925	あれ?勇者ママ、起きてます?はは、もうヘロヘロじゃないですか。まだ起きなくていいですよ。赤ちゃんの私に言われるのは変な気分でしょうけど。
109716	113660	初めての出産で疲れたでしょう?
113660	132299	今はゆっくりお休みになってくださいなそうそう 私のことは構わなくていいですから目を閉じて ゆっくり深呼吸をしてみましょう
134870	157947	そうしていれば、こんな祭壇みたいな場所でも案外自然と寝付けてしまうものですよ。さあ、息を大きく吸って…ゆっくり吐いて…
163634	186055	吸ってー吐いてー吸ってー吐いてー
189484	205823	今から数を数えていきます。5つ数えると、あなたはここで起きたことをすべて忘れ、いつものあなたに戻ります。ただし、勇者様という言葉を聞くと、
206874	231582	あなたは自分が牛娘になったことを思い出し、ここで経験したエッチな女の子としての快感をほんのりと思い出し、この運勢の暗示により深く書かれるようになります。このことだけは元のあなたに戻っても忘れません。
234238	248304	一つ、冷静に考えてみましょう。本当のあなたは牛娘だったでしょうか?母乳を飲んでもらうのが大好きな女の子だったでしょうか?
250698	270082	本当の現実の自分自身のことをじっくりとよく考えてみてください。あなたにはもっと馴染んだ名前や体、立場があったはずです。二つ、意識がはっきりとしてきます。
270948	299123	家の外の車の音、鳥や虫の鳴き声、風の音、周りの匂いや音をじっくりと感じ取ってみてください。自分が今どこにいるのか、ゆっくりで構いませんので考えてみましょう。3つ。あなたの体に力が戻ります。
300227	329115	手足の感覚が戻り、自由に動かすことができるようになります。手を握ったり開いたり、手足を指先から少しずつでいいので動かしてみましょう。4つ、意識がさらにはっきりとしてきます。もう、あなたは自分のことをすべて思い出すことができるはずです。
332728	362345	5つ。はい、さあ目を開けて。あなたはもうすっかりいつものあなたです。まだフラフラしたり、動けなかったら無理はせず、そのまま寝てしまっても構いませんし、しばらく横になってみましょう。徐々に元の感覚へ戻っていきます。動けるようならその場で軽く飛び跳ねてみたり、
363111	390670	少し冷たいシャワーを浴びてみたり、お気に入りの音楽や動画を視聴するのも、意識がシャキッとしていいですよ。お疲れ様でした。勇者ママ、やっと寝ついたかな?やっぱり可愛い寝顔してますね。
393140	411350	完服です。殺された時から顔が好みでしたし、この子をママにしたいなって思ってたんですよね。性格もまっすぐで素敵でしたし。
414808	437114	というか、この子にかけたの、呪いじゃなくて本当は、一時的に牛娘になっちゃう、ちょっとマイナーなだけの状態以上で、すぐバレると思ったのに。なんか、うまくいっちゃいましたね。
440955	468181	あぁ…こんなことしてよかったのかなぁ…殺された恨みを晴らすためとはいえ盛大な嘘ついちゃったしいい子すぎてなんだか騙しちゃったの最悪感湧いちゃうなぁ…ま、でも勇者ママが牛娘でいてくれる間は騙しちゃった分
469063	492325	絶対私やここの村人総出でママのことをきっとたくさん幸せにしてあげますからね。今は体のためにゆっくり休んでくださいね。私のかわいい勇者ママ。
