start	end	text
2090	17481	こんばんは私たちの声が聞こえるかな?君が今回のゲストさんだねおめでとうプロモーション撮影のゲスト枠に当選したよ
19598	40362	私たちの新曲の、だよ。私たちは双子のDJユニット。ってのは応募してくれたからもう知ってるよね。よかった、だよね。それじゃまずは企画と撮影の流れについて簡単に伝えておくね。
41297	55904	私たちのユニットは、新曲ができるたびに、その曲でゲストさんがどれくらい感じて、どれくらい言っちゃうかを配信して、多くの人に見てもらうってプロモーション活動をやってるの。
56616	84265	応募してくれたってことはもしかして例の異次元にある野外フェスとかに参加した経験がある人かなこのプロモーション撮影も無意識の奥深くまで潜る必要があるのもちろんちゃんと深く降りれるよう私たちが君をサポートしていくからねそして今回の新曲のテーマは
85270	112676	魂を活かせるなんだ音楽をダイレクトに魂に流されるってすっごく気持ちいいよきっといつもの感覚とは違う素晴らしい体験ができるはず普段の自分を完全に忘れて一つ一つの音に魂すべてで反応するほどになってしまうかもそういうわけだから
113744	136225	君はまず魂の状態にならないといけないの。まずはそこから始めていくね。あ、そうそう、言い忘れるところだった。今回撮るプロモーション映像は女性視聴者限定の配信だから、見るのは女の子だけだよ。
137535	166165	配信したら君が言ってる姿、全世界の女の子に見られちゃうかもね。それじゃあ、目を閉じて耳を澄ませていてね。深くゆったりとベッドに背中を預けてリラックスして。まずは軽く深呼吸をしてみようか。
167140	195595	大きく息を吸ってゆっくり吐いてもう一度大きく息を吸ってゆっくり吐いて少しは落ち着いたかな?
196695	217651	魂の状態に移行するには、心穏やかなリラックス状態と自然で深い集中が必要なの。まずは君をその状態へ導いていくね。これから流す音に対して、私たちが言う順番で意識を向けてみてちょうだい。
230159	254621	今はいろんな音が混ざっていてなんだか落ち着かないよねだけどここで私たちの言う通りの順番で聞き分けて音を感じる体験をしておくとこれから先一つ一つの音を聞き分けてそれぞれに集中できるようになるよ最後には全部を同時に感じる
262884	274827	なんてこともできるかもまずは左の水滴が落ちる音だけに意識を向けてしばらくの間他の音は無視して左の水滴の音だけに集中していようね
318376	332452	それじゃあ、次は右の水滴の音だけに意識を向けようか。またしばらくの間、右の水滴の音を聞き取ることだけに集中していようね。
