start	end	text
2065	28637	まずは最初に 催眠に入りやすくなる簡単なリラックス運動をしましょう10分くらい立ち上がった状態でやるから準備はしっかりしてくださいねイヤホンはつけたまま プレイヤーをポケットなどに入れましょう
30583	56798	そして身の回りを片付けて、手の届く範囲に何も置かず、つまずかない状況を作ってくださいね。電気はつけたまま、簡単に消せる状態にしておいた方がいいかもしれません。そうそう。
57064	86228	ベッドにもすぐ入れるようにしておきましょうね。できましたか?それでは始めていきます。リラックスするための運動だし。
87019	114427	疲れないことしかしないから、安心してくださいね。肩幅くらいまで足を開いて、膝は緩めて立ちましょう。そして、そのまま両手を前後にぶらぶら振ってみてください。そう、それだけを。
114848	140132	10分ほどやってください。あ、腕を振るときは力は入れなくていいですよ。だらだら、惰性で。自動で動いている感じで構いません。これから頭を落ち着ける音を流しますので。
141361	169368	そのままぶらーんぶらーんと前後に手を動かしたままでいてください音によって心が落ち着いて
172319	199277	腕を揺らすたびに肩がほぐれてどんどんリラックスしてきます気持ちいい音を聞いていると心が安らぎますね肩の筋肉がほぐれていくと
201730	229025	体がとてもダラーンとしてきます。さあ、腕を揺らせば揺らすほど、体も心も、 催眠に入りやすくなっていくんです。
233998	257374	まずは一つだけ 質問がありますあなたのいる国は 何という名前の国でしょうか現実にあなたが住んでいる国でもいいし 架空の国でもいいです
259942	283400	その国にはヒプノトランス連邦という敵対している国があります。連邦というのは州国家ですね。現実の世界ではカリフォルニア州やモスクワ州などがありますが、
284975	303836	これはもとは、それぞれ独立した国が集まってできたもの、と定義されていたりします。さて、一旦現実のことは忘れて。
306048	332657	このヒプノトランス連邦はあなたの国を地獄に取り込もうとしているとっても悪い国です。だからあなたの国は明確に敵対しているんですね。想像してみてください。あなたの国を吸収して。
334244	356381	支配しようとしている仮想の連邦国そのイメージが深ければ深いほどこの体験をよりリアルに感じより深い感情を味わえるようになりますからねでは
361678	377397	そのことをしっかりと意識しつつ、聞いていってくださいね。だって、これは他ならぬあなたのお話なんですから。
401242	428675	あなたはとある会社の社員最近仕事への行き詰まりを感じモチベーションも低下気味でしたそんな折とあるサイトで社会人向けのセミナー音声を見つけて購入しました自己啓発系の怪しいタイトルでしたが
429965	456659	ゲージ画像のきれいなお姉さんについ見とれてしまい、まるで魔法にかかったかのように、気づいたらそれを購入していました。そして、これからそのCDを聴こうとしている状況です。説明書には、これは、
457878	487023	催眠の技法を用いたセミナーですこれからあなたはこの音声を聞くことで素敵な体験をしますこの体験によってあなたは今までよりも前向きに仕事に打ち込めるようになり生活もとても豊かになることでしょう
490354	516937	書かれていますこのくすぶりから脱出したい幸せになりたいあなたは常日頃からそう思っていましたそうですよねだからその言葉はとても心地よく聞こえました
521843	534654	実際にこれはあなたを幸せに導くためのセミナーなのです嘘は言っていません手段や方法がどうあれば
565565	591723	だけど、なぜでしょうか。少し引っかかる部分があります。パッケージに映っているお姉さんを、どこかで見かけた気がする。この人は危険人物である、と心の奥で警鐘が鳴っている感覚がする。
593885	618958	甘い言葉に騙されて大事なものを裏切り差し出すことになるかもしれないだけどそれがとても気持ちのいいことだというのもあなたは知っているそして
620560	645843	幸せになれるということも嘘じゃないってわかっているだからこうやってお姉さんの催眠にかかる準備をしているんだよね甘い言葉と誘惑に
647109	671225	あなたの正義も倫理観も理性も落とされるのは、まだしばらく後の話です。すべてが快感に染まって、気持ちよく溶けるような体験、そのための準備をしてくださいね。
690647	703490	安心して身構えないで今はまだリラックスのために音に身を委ねてくださいすでにだんだんと
710658	736175	心が静かで穏やかな状態になり始めているんじゃないでしょうかそう音楽は実際に心に影響を及ぼすものなんです音に心を癒されて体をほぐすことが
737877	761010	この先のお話に没頭することにつながって深い催眠状態に落ちていく助けにもなっていくんですさあブラウンブラウン腕を動かして
764493	789478	さっきのお話で 少し興奮していてもそれを続けていくと 心が穏やかになってリラックスしていきますあなたの期待する体験は 深いリラックスの先にあります
791556	821075	期待が大きければ大きいほど、体と心がリラックスを求めるようになります。そして、リラックスすればするほど、深い催眠に入ることができるようになるんです。そう、すべては、
822284	848827	繋がっているんです。腕は揺らし続けていますか?
851010	878635	揺らし続けるとどうなるんでしたっけそう深いところまで落ちれるんでしたよねもしかして頭が少しぼーっとしていたんじゃないですか音を聞いているとどうなるんでしたっけ
884400	910487	心が変化していくんでしたよね心もうだいぶ落ち着いてきたんじゃないですかすべては深くて気持ちいいところに降りるためしばらくの間語りかけることはやめます
913615	923448	そのまま続けてゆっくりと体と 心を解きほぐしていってください
956962	974499	さっきと比べてどれぐらいリラックスできましたか?この運動をする前がどんな状態だったか思い出せますか?
977710	999410	もしかしたら、人によってはすでに誘導する必要がないほど深く入り始めているかもしれませんね。それじゃあ、電気を消してベッドに入りましょう。
1002072	1008025	焦らなくていいので、ゆっくりやってください。
