start	end	text
915	26879	この音声は、催眠音声として作られています。精神、肉体に何らかの疾患がある方、また、再発の恐れがある方は、視聴をおやめください。この音声を聞くことによって、何があったとしても、私どもは一切の責任を負いかねます。すべて、自己責任でお願いします。
28067	50875	また、この音声はそのまま寝てしまったとしても大丈夫なように、体を冷やさない服装で誰も入ってこない安心できる部屋で聞いてください。次に部屋を暗くし、ベッドや布団などの上に仰向けに寝てください。準備が整いましたら、続きを聞いてください。
53625	81166	最後に私の言葉を受け入れる心の準備をしていきましょう。催眠の世界へ入るには相手への信頼がとても大事です。あなたが私を信頼すればするほど、私の言葉はあなたに浸透しやすくなっていきます。今から私が言う言葉を私の音に続いて復唱してください。
83545	106081	私はあなたの言葉を信頼します私はあなたの言葉を受け入れますさあ準備が整いました
107902	134795	あなたは先ほどよりも催眠の世界に深く入れるようになりました。これからあなたをとっても気持ちの良い妖精の森へとご案内します。あなたはただ私の言葉をリラックスして受け入れればいいだけ。ただそれだけをしてください。
137555	164984	ゆったりとあなたが気持ちのいいペースで呼吸をしてください。催眠の世界へ入るにはリラックスがとても大事です。あなたがリラックスすればするほど、あなたは催眠にかかりやすくなります。私の言葉は気にせずに、あなたが気持ちのいいペースで呼吸をしてください。
172055	198464	体の力が抜けていく心の力が抜けていく体が安らぐ心が安らぐ
203577	232185	体が緩んでいく心が緩んでいく先ほどよりもあなたの心と体はリラックスしていますより催眠の世界に入りやすい状態になっています
235820	257882	今から私の言う言葉をイメージしてくださいあなたは今から気持ちの良い世界へ引きます暖かい日差しと爽やかな風が吹く草原へとあなたの意識は飛んでいきます
261305	286265	そこには辺り一面に青々とした草花が広がり、奥には森と山が広がっています。生々しい現実から離れたおとぎ話のような世界。あなたを傷つけるものは何もない理想の世界。
293220	321030	一度目を閉じてください今から私が10数を数えおろすとあなたの意識は心から安らげる気持ちの良い世界に入っていきます私を信頼してついてきてください10
322693	351532	だんだんと意識がここから離れていきます9暖かい日差しを感じる8爽やかな風が吹いてくる7幻想の世界はもう目の前6一緒に
352424	379841	いきましょ543210ようこそ幻想の世界へ今あなたは草原にいます
381943	411460	ここにはあなたを傷つけるものは何もありません。暖かい日差しと爽やかな風。草花のざわめきとほのかな香り。あたり一面に広がる美しい風景。青々とした草原。
416445	443507	奥に見える森と山生々しい現実から遠く離れた幻想の世界おとぎ話のような夢の世界今から少しの間語りかけるのをやめます
445547	474337	その間に存分にこの美しい世界を感じてください。十分に感じることができましたか?一度目を覚ましましょう。
475524	503440	大丈夫またすぐに戻ってこれますよ今度はもっと深くこの世界に入ることができますもっともっとこの世界の気持ちよさを味わうことができます今から私が3つ数を数え上げて手を叩いたら目を開けてください
507188	534923	1、2、3目を開けてくださいどうでしたか?気持ちよかったですか?またすぐにあの世界へ戻ることができますよこの現実から遠く離れた幻想の世界へあの世界を
538055	557023	もっとはっきりともっと気持ちよくもっと深く感じたいですかさらに深く催眠の世界に入りたいと思うなら今から私が言う言葉を私の後に続いて復唱してください
558919	588023	そうすれば必ず、さっきよりも深く幻想の世界を感じることができるようになります。さあ、復唱してください。私はあなたの言葉を信頼します。私はあなたの言葉を受け入れます。
594908	618808	私はあなたの言葉に従いますこれであなたはさらに深く 催眠の世界を感じることができるようになりました今から私が3つ数を数えよろすと
619940	648499	あの幻想の世界へと戻ることができます3210おかえりなさいあなたは幻想の草原へ戻ってきました今度はよりはっきりと感じます
650950	676308	心地の良い暖かい日差し爽やかな風草花のざわめきとほのかな香り奥には森と山そして青空
