start	end	text
10550	37882	私は今聞いていただいた、深く音を感じるためのレクレーションでナレーションをしていたものです。スパイとは別人ですので、安心してお聞きください。このパートは、催眠音声パートやオナニーサポートなどでかけられたすべての暗示を解除するものです。
42324	68164	この先を聞くことでこの作品を聞く前の状態に戻ります性癖に関してはスパイに植え付けられる前から好きだった場合は残念ながらリセットされませんがそれでも日中に思い浮かんで我慢できなくなるという暗示はなくなるので安心してください
71564	100430	それでは、一旦、深い催眠状態に落としますね。その後、すべての暗示を解除し、目覚めさせるという流れで行います。さあ、まずは一度、催眠状態へと入っていきましょう。10、すーっと
101310	129464	全身の力が抜けて気持ちいい9ぼーっとして気持ちよくって気だるくて催眠に落ちる8何をするのも何を考えるのも今はめんどくさい7
131733	143879	あなたは今、まどろみの中へと沈む。深く催眠に落ちる。6.
143879	158047	催眠に落ちるのって気持ちいいもんね。5.
158047	159808	だから、ほら、頭の中が気持ちいい催眠を。
163036	192262	4.そしてどんどん深く深く意識が沈んでいく3.沈んで落ちて頭の中が心地いい言葉で飽和する2.意識がすーっと消えてぼーっとする
194472	219001	1.どんどん沈んでずっと落ちる。0.あなたは深く催眠に落ちた。さて、暗示の解除はスパイと同じ方法をとりますね。
224550	251860	言葉で頭をいっぱいにするあの方法です私が思い出してというとあなたの頭の中はスパイに誘導されて体験した言葉や行為を思い出してそれだけで頭がいっぱいになっていきます大丈夫ですよ
253466	279329	エッチなことで頭をいっぱいにしても、思い出せば思い出すほど解除の効果が高まりますから。あなたはスパイにいろんな言葉を吹き込まれましたよね。例えば、売国、マゾ、奴隷…
280216	308612	変態、おちんちん、乳首、前立腺、いろんな性的な単語が思い浮かんできますよね。さあ、思い出して。頭の中がスパイに誘導されていたときの言葉でいっぱいになっていきます。
310439	337579	もしかしたらだんだんと快感を感じ始めてくるかもしれませんでも大丈夫私が3から0まで数え下ろすとその言葉は頭からスーッと掃除されて消え去ります消え去った言葉は
339048	364960	もう頭の中をいっぱいにしたり暗示とつながる効果をなくしただの単語として認識されるようになります3.頭の中の言葉がスーッと吸い出されるように消える2.言葉がなくなって
367062	395577	頭が空っぽになってくる1空っぽになって心地よくなる0そして今あなたの頭の中は私の声だけになっているさあ続いてまた暗示を無力化していきましょう
398206	425724	スパイにドライ絶頂させられた、僕の変態チンポは、という言葉を思い出して。私が3から0まで数え下ろすと、その言葉は頭からスーッと掃除されて消え去り、またスパイから催眠をかけられでもしない限り、
426857	452361	暗示とつながる効果もなくなります3頭の中からスーッと言葉が吸い出されて消える2つながる先の言葉も同時に消えてなくなって頭が安らぎに包まれる1
454527	479887	常に悪女ものの作品を求めてしまう衝動も落ち着いて頭の中が穏やかになるゼロそしてまた頭の中が私の声だけになる次が最後
481771	508282	あなたの中に深く刻み込まれた根本の暗示を消し去りましょう催眠奴隷その言葉を思い出してこの言葉を聞くと一気に深く催眠に落ちて頭がぼーっとしてくるかもしれません
510590	536495	でも、それでいいんですよ。だって、心の深い場所に根付いた暗示を取り去るのだから、あなたも深い意識の底まで落ちるのは当たり前。そうでしょ?さあ、それでは暗示を無力化していきましょう。
538775	564420	私が3から0まで数えおろすと、スパイにかけられた根本の暗示が、すーっと頭から掃除されて消え去ります。そして、もし今後、頭の中が何かの言葉でいっぱいになったとしても、
566308	594798	あなたは口に出さずとも、軽く深呼吸することで気持ちを切り替えられることを覚えます。たとえそれが悩みや不安、嫌なことであったとしても。3.頭からすーっとすべての暗示が吸い出されて消える。
596868	624658	2 本当の意味で解放されて頭が深い安心感に満たされてくる1 全ての暗示が解かれて心も体もゆったりとしてとっても心地がいい0 頭の中には
625552	650777	私の声だけが響いているさあ思い出してこの作品はすべてフィクション架空の登場人物に起きたことを語ったにすぎないものあなたは自分と彼が明確に別人であることを実感しているし
653422	676878	すべての暗示から解放されたあなたは、この作品を聞く前のあなたに戻っていく。これから数字を1から10まで数えていきます。10になって手を叩くと、あなたはこの音声を聞く前に戻り、
677855	706111	あなたの意識ははっきりと元の自分を自覚して目を覚ますことができます1.空っぽになった頭の中に音声を聞く前にあったものが戻ってくる2.それは今のあなたにとってとても懐かしくて大切なもの
708603	710524	3.
710524	720187	そう、それは元のあなた。だからすんなりすべてを受け入れることができる。4.
720187	732852	穏やかで優しい気持ち。そして心はとても晴れ晴れとしている。5.
734676	762330	心に余裕ができて人にも優しくなれる。頭の中が最高の状態で固定される。6.それが本来のあなた。そうでしょ?7.もし悩みや不安が襲ってきたときは、深呼吸することで。
762777	791495	それらは掃除される8もしかしたら聞く前より前向きになっているかもしれないね9さあ次の数字の後私が手を叩くとあなたは今の状態のまますっきりと目を覚ますことができる10
795280	820858	目は覚めましたか心が晴れやかでとっても満たされた状態になっていますね今のあなたなら大切な人たちだけでなく周りにいる人たちにも優しくできるほど心に余裕を持つことができたそしてこの感覚は
822234	850358	心の奥にしっかりと刻み込まれているまだぼーっとしていたり暗示が残っていると感じた場合はもう一度解除音声を聞いて簡単なストレッチなどをしてみましょうそして最後にもしまた気晴らしに
851541	860439	危ない背徳の快楽を味わいたくなったら本編を催眠音声から聞いてください
