start	end	text
3627	28583	それでは、催眠に入りやすくなる簡単なリラックス運動をしましょう。10分くらい立ち上がった状態でやるので、準備はしっかりしてくださいね。イヤホンをつけたまま、プレイヤーをポケットなどに入れましょう。そして、身の回りを片付けて、
28947	50525	手の届く範囲に何も置かず、つまずかない状況を作ってくださいね。電気はつけたまま、簡単に消せる状態にしておいたほうがいいかもしれません。さあさ、ベッドにもすぐ入れるようにしておきましょうね。
58931	81309	できましたか?それでは始めていきます。肩幅くらいまで足を開いて、膝は緩めて立ちましょう。そして、そのまま両手を前後にぶらぶら振ってみてください。それだけをしばらく続けてください。
89578	115950	腕を振るときもあまり力は入れず、だらだら、多声で、自動で動いている感じでかまいません。これから、頭を落ち着ける音を流します。そのまま、ぶらーんぶらーんと、前後に手を動かしたままでいてください。
119011	145785	腕を揺らすたびに体がリラックスしていって、催眠に入る準備が整っていきます。力を抜いて、リラックスして、気持ちよく揺らせば揺らすほど効果が増して、催眠に入りやすくなります。
148615	177493	深い催眠に落ちるのがまだ不安でしたら途中で止めてしまっても構いません自分の好きなペースで行ってくださいリラックスのため音に集中してみましょういつの間にか少しずつ心が落ち着いてきているのがわかりますか?
179840	200860	周りの音によって人の心が変化するのは、実は当たり前のこと。例えば、線路の遮断器が降りる音を聞くと、なぜか不安な気持ちになったりしたこと、ありませんか?
202750	225556	逆に、海岸線で波の音を聞いているときは、不思議と心が選択されるような気がしたこと、ありませんか?そう、身近にあふれる音も、普段からあなたの心を変化させているんです。
244640	270212	音によって心が落ち着いて腕を揺らすたびに肩がほぐれてどんどんリラックスしてきます気持ちいい音を聞いていると心が安らぎますね肩の筋肉がほぐれていくと
272187	291011	体がとてもドローンとしてきますそう力を抜いてリラックスして腕を揺らせば揺らすほど体も心も催眠に入りやすくなっていくんです
309569	334882	そうそう、その調子です。そういえば、この音声がどういう内容なのか、わかってますよね?あなたは双子のお姉さんの新曲プロモーションのゲスト枠に応募し、当選しました。
336974	364261	お姉さんの作る曲は、人の魂に直接働きかけ、気持ちよくするというもの。優しく誘導されて、意識が深い場所まで落ちると、だんだん聞こえる音が気持ちよくなっていく。そんな不思議な体験ができるかも。
366035	393628	そしてお姉さんたちの声と曲に身を任せているうちに、何度も大きな絶頂へ登りつめちゃうかも。そんな深い深いところまで落とされて、音で魂をかき混ぜられる体験、してみたくありませんか。
396009	421725	あなたはそれを求めてこの作品を購入してくれたんですよね。そう、あなたが心の中で求めていた欲求。だってそうでしょ。音楽を聴いている時、一瞬意識があっちの世界に持っていかれた、とか。
424180	447944	曲に没頭しているとトレーニングを長く続けられたとか、楽しくなったり切なくなったりと音楽で感情が切り替わったりとか、そういう日常の中でふと体験した音楽を聴いているときの不思議な出来事とか、
449718	472679	それに遭遇したことがあるから この作品に目が止まったんじゃないでしょうか音楽には人の意識に作用する力があるんじゃないかとその体験 今も実際に感じ始めていますよね
477369	502465	すでにだんだんと心が静かで穏やかな状態になり始めているんじゃないでしょうかそう音楽は実際に心に影響を及ぼすものなんですさあ一旦作品のお話は頭の隅に置いといて
504357	532978	腕をぶらーんぶらーんそれを続けましょう腕を動かすたびに心が穏やかになってどんどんリラックスしていきますあなたの期待する体験は深いリラックスの先にあります期待が大きければ大きいほど
534647	557522	体と心がリラックスを求めるようになります音に心を癒されて体をほぐすことがこの先のお話に没頭することへとつながって深い催眠状態に落ちていく助けにもなっていくんです
581659	608075	腕は揺らし続けていますか?揺らし続けるとどうなるんでしたっけ?そう、深いところまで落ちれるんでしたよね。もしかして頭が少しぼーっとしていたんじゃないですか?音を聞いているとどうなるんでしたっけ?
610391	621005	そう、心が変化していくんでしたよね心、もうだいぶ落ち着いてきたんじゃないですか?
641148	668302	すべては深くて気持ちいいところに降りるため、しばらくの間語りかけることをやめます。腕を揺らせば揺らすほど深い深い催眠に入る準備ができるんでしたよね。音を聞けば聞くほど心が変化していくんでしたよね。
670426	678663	そのまま続けて、ゆっくりと体と心を解きほぐしていきましょうね。
715516	740708	さっきと比べてどれくらいリラックスできましたか?この運動をする前がどんな状態だったか思い出せますか?もしかしたら人によってはすでに誘導する必要がないほど深く入り始めているかもしれませんね。
744185	756267	それじゃあ、電気を消してベッドに入りましょう。焦らなくていいのでゆっくりやってください。
