start	end	text
1786	28128	まさか…
33713	57660	また寝そうだった眠いけど起きなきゃ配信やるし支度しないと
73522	101150	あくび止まんない今日の天気いい感じ朝の空気気持ちいい洗濯物外に干しても大丈夫そうかなしりくさ今日の天気は
101939	129226	本日の青切り区一帯は、最高気温25度、最低気温19度、朝から晩までずっと快晴。比較的過ごしやすい気候で、絶好のお出かけ日和です。ただし、UV対策を忘れなく、薄手のカーディガンを羽織るのがおすすめです。こまめな水分補給も忘れずに、保冷の効く水筒などを持っていくのがいいですよ。
129766	159567	それからもういいやめて十分だからありがとうお役に立てて何よりですはいはい本当によく喋るないつもの子が修理中で代わりの子を貸してもらえたのはいいけどなんかねおせっかいというか自我が強いというかとにかくすんごい喋るんだよね
161153	189858	スマートスピーカーにも個性があるのかな?まあいっかそれより…うん…お腹空いてきちゃったん?あれ?なんか今…椅子の下で光った?うーん…あ!
190369	213997	ピアス これずーっと探してたやつ片っぽだけなくしちゃって困ってたんだよねー よかった朝からついてるなぁさーて 朝ごはんの準備しますかあ 今朝はあれがあれになった
215997	245562	あったこの間ポプラと大型スーパー行った時のパン昨日のうちに冷蔵庫に入れて解凍しておいたのよね昨日の私偉すぎるこのまま電子レンジに入れてもいける?どう?
246693	268730	今のうちに飲み物も用意したか今日はルイボスティーでもいいけどお水にしよっかな昨日のサラダ残ってる食べちゃおうあとヨーグルトも
281995	304763	割といい感じでは?わかんないけどこのまま食べるのも味気ないしちゃんとお皿にのせるかオッケー
305570	334308	家にあるものを並べただけだけど、こうしてみるとまあまあいい感じの朝食になったんじゃない?さ、食べよっとよいしょっとよし、それじゃあいただきまーす
335641	364336	うんよかったちゃんと美味しいでもちょっと水分抜けてるのが気になるような他にもっといい解凍方法があったのかなそういえば前にママから言われたことがある気がする確かレンジで温める前に霧吹きを使って
364818	393789	あらかじめパンに水分を加えておくとかだったっけそれでよかったと思うけど一応ちゃんと調べておこうかなえーとスマホはベッドに置きっぱなしかうっしょそういえば起きてからまだちゃんとスマホ見てなかったな
395378	425103	ん?まねちゃんから連絡きてる?なんだろ?今日の夕方頃宅配が届く予定です受け取ってください?え?私宛に?へーなんだろまあひとまず了解ですと夕方…夕方か
427222	453821	じゃあその頃には家にいないといけないわよねそれまではちょっと外に出てよっかな今日は朝ちょっと配信する以外は特に予定もないし一日中いい天気だってしりくさんも言ってたしその通りです本日は外出にはもってこいぜひお出かけを楽しんできてください
454762	484580	本日の私のおすすめスポットは…あ、いいいい、やめて。別に今はあなたに話しかけてないし、行き先は自分で決めれるから、大丈夫。あ、そっか、しりくさんに聞けばいいんだ。ねえしりくさん、冷凍したパンを美味しく解凍する方法ってわかる?冷凍したパンを美味しく解凍する方法ですね。パンの種類にもよりますが、基本的には…
485356	513520	3.パンを再びラップで包み、レンジで数十秒、様子を見ながら加熱する。という方法で、おいしく解凍することが可能なようです。
517047	545684	やっぱりポイントは霧吹きよね私の記憶間違ってなかったちょっと面倒だけどでも手間をかけた分美味しくなるってことよね次はそれでやってみるかありがとうシルクさんどういたしまして他にもご用はございますか?何でもお答えいたします
547237	576573	特にないけどじゃあたまには音楽でも流してもらおうかなかしこまりました穏やかな朝のひとときにふさわしいBGMを再生します穏やかな朝あなたのおかげでわりとにぎやかな朝になっちゃってたと思うんだけどまあいいか
589424	615780	ごちそうさまでしたなかなかいい選曲じゃない?結構センスいいんだ仕事はできるかなのよねめちゃくちゃおしゃべりなだけで
619478	643992	ちょうどいい具合にお腹膨れたなぁ朝からすっごくいい天気今日はいつもより遠出するのもありかも
646715	665794	思い切って車借りてみたりして?車ならたくさん買い物しても平気だしそうしよう決まり配信が終わったら準備しよいい一日になりそう
